id,id_str,has_tweet_coordinates,default_profile_image,has_description,tweet_favourited_count,user_favourites_count,followers_count,followings_count,retweet_count,user_activity_count,verified,has_text_url,has_exclamation,has_first_noun_words,has_hash,has_mention,has_qmark,polarity_positive,polarity_negative,subjectivity_positive,subjectivity_negative
146,1.11E+18,0,FALSE,1,1,58642,525,1027,1,21995,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
147,1.11E+18,0,FALSE,1,0,169,3804,5002,0,49665,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
148,1.11E+18,0,FALSE,0,1,185,253,441,0,1114,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
149,1.11E+18,0,FALSE,1,0,1372,3106,1763,0,133155,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
150,1.11E+18,0,FALSE,1,0,118,539,204,0,459,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
151,1.11E+18,0,FALSE,1,0,213981,3752,4999,0,482764,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
152,1.11E+18,0,FALSE,1,3,5165,3388,1097,0,25763,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
153,1.11E+18,0,TRUE,0,0,0,0,7,0,1,FALSE,FALSE,3,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
154,1.11E+18,0,FALSE,1,0,37,89,234,0,1428,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
155,1.11E+18,0,FALSE,0,0,132,324,3223,0,22522,FALSE,TRUE,0,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
156,1.11E+18,0,FALSE,1,0,0,1205,504,0,288177,FALSE,FALSE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
157,1.11E+18,0,FALSE,1,0,15301,308,604,0,14107,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
158,1.11E+18,0,FALSE,1,2,1347,2113,262,0,452,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
159,1.11E+18,0,FALSE,1,0,90,289,202,0,621,FALSE,TRUE,1,FALSE,TRUE,TRUE,0,TRUE,FALSE,TRUE,FALSE
160,1.11E+18,0,FALSE,1,3,1005,10037,801,2,17259,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
161,1.11E+18,0,FALSE,1,0,13864,298,4041,0,13890,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
